,Year,Month,Days,DayOfWeek,IsWeekend,IsHoliday,Nights,Type,RateCode,TrackCode,Occupied,ADR,Rate
335,2022,8,30,1,0,0,2,0,5,4,98,82.25,65.0
336,2021,8,9,0,0,0,1,3,103,1,96,80.59,85.0
337,2022,6,6,0,0,0,2,3,20,1,100,86.44,76.54
338,2022,7,14,3,0,0,2,6,0,1,100,107.72,124.0
339,2022,2,3,3,0,0,1,7,0,1,100,94.55,117.8
340,2022,2,6,6,1,0,1,2,0,1,100,104.88,95.0
341,2022,5,5,3,0,0,1,5,0,0,99,89.27,65.0
342,2022,1,24,0,0,0,1,4,24,0,85,74.37,70.0
343,2022,10,16,6,1,0,1,3,58,1,79,74.03,85.0
344,2021,9,13,0,0,0,5,2,24,0,90,81.04,70.0
345,2021,8,4,2,0,0,1,5,24,0,95,75.92,70.0
346,2022,8,29,0,0,0,1,3,9,1,93,81.64,104.16
347,2022,9,2,4,0,0,2,6,21,1,100,127.68,103.35
348,2022,7,10,6,1,0,7,3,56,0,97,102.02,127.76
349,2022,10,13,3,0,0,3,5,82,1,100,84.35,79.97
350,2022,5,26,3,0,0,1,7,0,1,100,94.61,137.8
351,2022,7,1,4,0,0,1,7,56,3,100,124.75,141.08
352,2022,10,2,6,1,0,1,3,58,1,100,81.67,114.0
353,2022,2,7,0,0,0,1,3,5,0,94,82.99,65.0
354,2022,6,29,2,0,0,1,7,64,0,100,88.57,114.67
355,2022,1,10,0,0,0,1,3,32,0,82,72.59,59.2
356,2022,3,16,2,0,0,1,2,78,1,97,85.57,81.75
357,2022,6,12,6,1,0,1,3,20,0,86,84.34,58.5
358,2021,9,15,2,0,0,3,7,24,0,99,81.91,70.0
359,2022,8,12,4,0,0,3,3,4,0,99,109.71,70.0
360,2022,7,25,0,0,0,3,5,103,1,99,88.52,85.0
361,2021,7,9,4,0,0,2,3,1,1,100,114.87,110.0
362,2022,5,11,2,0,0,1,3,0,1,100,76.22,104.0
363,2022,6,21,1,0,0,2,3,25,0,100,90.76,70.0
364,2021,12,31,4,0,1,1,2,0,0,81,105.58,139.0
365,2021,4,6,1,0,0,1,3,5,0,88,76.4,65.0
366,2022,4,13,2,0,0,2,5,103,0,100,84.24,85.0
367,2022,7,17,6,1,0,1,3,0,3,95,98.81,129.0
368,2022,2,20,6,1,0,5,2,25,0,92,107.71,70.0
369,2022,11,30,2,0,0,1,3,64,1,76,83.06,96.72
370,2022,9,16,4,0,0,2,2,41,3,100,122.23,103.82
371,2022,8,3,2,0,0,1,2,72,1,95,95.08,109.0
372,2022,6,29,2,0,0,2,7,102,0,100,88.57,89.85
373,2022,3,8,1,0,0,1,6,0,1,100,94.95,136.3
374,2022,3,21,0,0,0,2,6,4,0,100,93.14,70.0
375,2022,10,7,4,0,0,2,2,0,1,100,171.94,199.0
376,2022,6,2,3,0,0,1,2,24,0,99,103.86,70.0
377,2022,7,15,4,0,0,1,3,50,0,100,135.93,107.1
378,2022,1,10,0,0,0,1,5,64,0,82,72.59,95.1
379,2021,12,29,2,0,0,1,3,56,1,90,78.69,67.28
380,2021,5,9,6,1,0,5,3,19,0,81,73.02,70.0
381,2022,4,6,2,0,0,1,3,20,1,99,84.45,67.6
382,2022,12,23,4,0,0,1,3,64,1,70,88.56,94.05
383,2022,2,10,3,0,0,1,3,58,1,96,102.62,85.0
384,2022,9,28,2,0,0,2,2,81,3,100,90.55,91.2
